,Bike,length of longest straight,Right_Corners,Left_Corners,Year,track_width,MotoGP_avg_speed,GP_distance,corners,Rider_Name,points_mean,Track_Condition,Track_Temp,Humidity,Track,Finish_Time_ms,Category
34,ducati,607.0,8.0,6.0,2015,11.0,161.2,110.6,14.0,andrea dovizioso,12.875862068965517,dry,30.0,41.0,spa - circuito de jerez,2739179.0,MotoGP
35,ducati,674.0,9.0,5.0,2015,13.0,161.8,113.0,14.0,andrea dovizioso,12.875862068965517,dry,32.0,45.0,fra - le mans,2636523.0,MotoGP
36,ducati,487.0,12.0,6.0,2015,14.0,173.1,118.1,18.0,andrea dovizioso,12.875862068965517,dry,30.0,66.0,ned - tt circuit assen,2483455.0,MotoGP
37,ducati,636.0,8.0,6.0,2015,15.0,165.5,113.5,14.0,andrea dovizioso,12.875862068965517,dry,39.0,54.0,cze - automotodrom brno,2588767.0,MotoGP
38,ducati,530.0,10.0,6.0,2015,14.0,162.6,114.1,16.0,andrea dovizioso,12.875862068965517,dry,31.0,34.0,rsm - misano world circuit marco simoncelli,2941253.0,MotoGP
39,ducati,968.0,7.0,10.0,2015,15.0,167.0,116.8,17.0,andrea dovizioso,12.875862068965517,dry,39.0,50.0,ara - motorland aragón,2529255.0,MotoGP
40,ducati,762.0,8.0,6.0,2015,15.0,162.2,115.2,14.0,andrea dovizioso,12.875862068965517,wet,21.0,93.0,jpn - twin ring motegi,2845852.0,MotoGP
41,ducati,876.0,5.0,9.0,2015,12.0,139.8,108.1,14.0,andrea dovizioso,12.875862068965517,dry,29.0,63.0,val - circuit ricardo tormo,2788250.0,MotoGP
42,ducati,1068.0,10.0,6.0,2014,12.0,166.6,118.4,16.0,andrea dovizioso,12.875862068965517,dry,18.0,60.0,qat - losail international circuit,2572720.0,MotoGP
43,ducati,1200.0,9.0,11.0,2014,15.0,158.4,110.3,20.0,andrea dovizioso,12.875862068965517,dry,32.0,71.0,ame - circuit of the americas,2634406.0,MotoGP
44,ducati,1076.0,9.0,5.0,2014,16.0,172.7,120.2,14.0,andrea dovizioso,12.875862068965517,dry,37.0,60.0,arg - termas de río hondo,2533494.0,MotoGP
45,ducati,607.0,8.0,6.0,2014,11.0,161.2,110.6,14.0,andrea dovizioso,12.875862068965517,dry,50.0,25.0,spa - circuito de jerez,2751628.0,MotoGP
46,ducati,674.0,9.0,5.0,2014,13.0,161.8,113.0,14.0,andrea dovizioso,12.875862068965517,dry,42.0,35.0,fra - le mans,2666028.0,MotoGP
47,ducati,1047.0,8.0,6.0,2014,12.0,164.4,111.0,14.0,andrea dovizioso,12.875862068965517,dry,34.0,61.0,cat - circuit de barcelona-catalunya,2593089.0,MotoGP
48,ducati,487.0,12.0,6.0,2014,14.0,173.1,118.1,18.0,andrea dovizioso,12.875862068965517,wet,25.0,69.0,ned - tt circuit assen,2616668.0,MotoGP
49,ducati,700.0,3.0,10.0,2014,12.0,160.6,110.1,13.0,andrea dovizioso,12.875862068965517,wet-dry,27.0,66.0,ger - sachsenring,2541532.0,MotoGP
50,ducati,636.0,8.0,6.0,2014,15.0,165.5,113.5,14.0,andrea dovizioso,12.875862068965517,dry,23.0,71.0,cze - automotodrom brno,2585634.0,MotoGP
51,ducati,530.0,10.0,6.0,2014,14.0,162.6,114.1,16.0,andrea dovizioso,12.875862068965517,dry,37.0,45.0,rsm - misano world circuit marco simoncelli,2660096.0,MotoGP
52,ducati,762.0,8.0,6.0,2014,15.0,162.2,115.2,14.0,andrea dovizioso,12.875862068965517,dry,27.0,57.0,jpn - twin ring motegi,2555612.0,MotoGP
53,ducati,920.0,10.0,5.0,2014,16.0,164.0,110.9,15.0,andrea dovizioso,12.875862068965517,dry,54.0,50.0,mal - sepang international circuit,2494362.0,MotoGP
54,ducati,876.0,5.0,9.0,2014,12.0,139.8,108.1,14.0,andrea dovizioso,12.875862068965517,dry,22.0,45.0,val - circuit ricardo tormo,2816332.0,MotoGP
55,ducati,1068.0,10.0,6.0,2013,12.0,166.6,118.4,16.0,andrea dovizioso,12.875862068965517,dry,23.0,66.0,qat - losail international circuit,2584157.0,MotoGP
56,ducati,1200.0,9.0,11.0,2013,15.0,158.4,110.3,20.0,andrea dovizioso,12.875862068965517,dry,38.0,46.0,ame - circuit of the americas,2644497.0,MotoGP
57,ducati,607.0,8.0,6.0,2013,11.0,161.2,110.6,14.0,andrea dovizioso,12.875862068965517,dry,47.0,38.0,spa - circuito de jerez,2759513.0,MotoGP
58,ducati,674.0,9.0,5.0,2013,13.0,161.8,113.0,14.0,andrea dovizioso,12.875862068965517,wet,18.0,93.0,fra - le mans,2967794.0,MotoGP
59,ducati,1047.0,8.0,6.0,2013,12.0,164.4,111.0,14.0,andrea dovizioso,12.875862068965517,dry,52.0,29.0,cat - circuit de barcelona-catalunya,2619171.0,MotoGP
60,ducati,487.0,12.0,6.0,2013,14.0,173.1,118.1,18.0,andrea dovizioso,12.875862068965517,dry,18.0,49.0,ned - tt circuit assen,2519003.0,MotoGP
61,ducati,700.0,3.0,10.0,2013,12.0,160.6,110.1,13.0,andrea dovizioso,12.875862068965517,dry,42.0,48.0,ger - sachsenring,2504680.0,MotoGP
62,ducati,636.0,8.0,6.0,2013,15.0,165.5,113.5,14.0,andrea dovizioso,12.875862068965517,dry,23.0,70.0,cze - automotodrom brno,2605744.0,MotoGP
63,ducati,530.0,10.0,6.0,2013,14.0,162.6,114.1,16.0,andrea dovizioso,12.875862068965517,dry,31.0,56.0,rsm - misano world circuit marco simoncelli,2688224.0,MotoGP
64,ducati,968.0,7.0,10.0,2013,15.0,167.0,116.8,17.0,andrea dovizioso,12.875862068965517,dry,30.0,43.0,ara - motorland aragón,2564130.0,MotoGP
65,ducati,920.0,10.0,5.0,2013,16.0,164.0,110.9,15.0,andrea dovizioso,12.875862068965517,dry,44.0,58.0,mal - sepang international circuit,2490302.0,MotoGP
66,ducati,762.0,8.0,6.0,2013,15.0,162.2,115.2,14.0,andrea dovizioso,12.875862068965517,dry,31.0,33.0,jpn - twin ring motegi,2597235.0,MotoGP
67,ducati,876.0,5.0,9.0,2013,12.0,139.8,108.1,14.0,andrea dovizioso,12.875862068965517,dry,26.0,28.0,val - circuit ricardo tormo,2823498.0,MotoGP
68,yamaha,1068.0,10.0,6.0,2012,12.0,166.6,118.4,16.0,andrea dovizioso,12.875862068965517,dry,23.0,53.0,qat - losail international circuit,2581634.0,MotoGP
69,yamaha,607.0,8.0,6.0,2012,11.0,161.2,110.6,14.0,andrea dovizioso,12.875862068965517,dry,15.0,78.0,spa - circuito de jerez,2751997.0,MotoGP
70,yamaha,674.0,9.0,5.0,2012,13.0,161.8,113.0,14.0,andrea dovizioso,12.875862068965517,wet,19.0,96.0,fra - le mans,3039502.0,MotoGP
71,yamaha,1047.0,8.0,6.0,2012,12.0,164.4,111.0,14.0,andrea dovizioso,12.875862068965517,dry,40.0,49.0,cat - circuit de barcelona-catalunya,2597042.0,MotoGP
72,yamaha,487.0,12.0,6.0,2012,14.0,173.1,118.1,18.0,andrea dovizioso,12.875862068965517,dry,37.0,44.0,ned - tt circuit assen,2491849.0,MotoGP
73,yamaha,700.0,3.0,10.0,2012,12.0,160.6,110.1,13.0,andrea dovizioso,12.875862068965517,dry,37.0,47.0,ger - sachsenring,2509065.0,MotoGP
